fname,detected,yolo_conf,box_x1,box_y1,box_x2,box_y2,crop_h,crop_w,seg_input_h,seg_input_w,dice,iou,pixel_accuracy,sensitivity,specificity,t_detect_ms,t_seg_ms,t_total_ms,dice_Background,iou_Background,dice_Retinal Layer,iou_Retinal Layer,dice_PED,iou_PED,dice_SRF,iou_SRF,dice_IRF,iou_IRF,dice_RPE,iou_RPE
641.png,True,0.5314,0,102,256,169,77,256,96,256,0.5706,0.522,0.9864,0.7216,0.9563,52.16,255.77,804.28,0.9931,0.9863,0.8452,0.7318,0.0,0.0,0.5854,0.4138,0.0,0.0,1.0,1.0
2360.png,True,0.6943,0,110,255,213,117,256,128,256,0.8353,0.7824,0.9804,0.8326,0.9828,54.76,332.2,694.25,0.9891,0.9785,0.7979,0.6638,1.0,1.0,0.9393,0.8855,0.2857,0.1667,1.0,1.0
2694.png,True,0.6284,0,119,256,182,71,256,96,256,0.8433,0.7439,0.9504,0.8446,0.9465,82.15,424.24,868.38,0.9729,0.9472,0.7331,0.5786,0.7734,0.6305,0.8018,0.6692,1.0,1.0,0.7788,0.6378
551.png,True,0.7699,0,109,254,169,68,256,96,256,0.8814,0.8303,0.9442,0.8494,0.9719,79.61,372.91,792.08,0.961,0.9249,0.456,0.2954,1.0,1.0,0.9071,0.8299,0.9645,0.9314,1.0,1.0
1162.png,True,0.5334,0,112,255,215,117,256,128,256,0.8991,0.8342,0.9887,0.9029,0.9762,76.93,470.65,929.25,0.9942,0.9885,0.8375,0.7205,0.7032,0.5423,0.8598,0.7541,1.0,1.0,1.0,1.0
1640.png,True,0.6364,0,101,255,163,70,256,96,256,0.7461,0.6813,0.9097,0.8881,0.9626,73.93,352.17,691.41,0.9419,0.8902,0.8025,0.6702,0.0,0.0,0.8671,0.7654,0.865,0.7622,1.0,1.0
74.png,True,0.5363,0,47,256,116,79,256,96,256,0.7728,0.7307,0.9895,0.7891,0.9724,87.6,403.83,774.31,0.9946,0.9892,0.8503,0.7396,1.0,1.0,0.0,0.0,0.792,0.6556,1.0,1.0
6.png,True,0.6638,0,0,254,129,138,256,160,256,0.888,0.8202,0.9877,0.923,0.9776,83.24,601.63,1074.41,0.9938,0.9876,0.707,0.5468,0.7324,0.5778,1.0,1.0,0.8946,0.8092,1.0,1.0
344.png,True,0.4866,0,30,256,120,102,256,128,256,0.6712,0.6272,0.9732,0.9118,0.9402,84.12,513.18,869.19,0.9858,0.9721,0.2597,0.1493,0.7818,0.6418,1.0,1.0,0.0,0.0,1.0,1.0
760.png,True,0.5013,0,93,254,171,88,256,96,256,0.7605,0.7148,0.9839,0.798,0.9785,95.04,337.58,838.2,0.9916,0.9833,0.8575,0.7506,1.0,1.0,0.7138,0.5549,0.0,0.0,1.0,1.0
278.png,True,0.5234,0,85,254,127,48,256,64,256,0.9461,0.9063,0.9775,0.939,0.967,47.96,177.62,693.0,0.9878,0.9759,0.855,0.7467,1.0,1.0,0.8339,0.7152,1.0,1.0,1.0,1.0
532.png,True,0.578,0,86,255,173,99,256,128,256,0.8973,0.8443,0.9787,0.916,0.9315,58.61,315.83,774.09,0.9891,0.9785,0.6002,0.4287,1.0,1.0,0.7942,0.6587,1.0,1.0,1.0,1.0
871.png,True,0.4006,0,95,255,145,58,256,64,256,0.5687,0.5212,0.9421,0.5478,0.9205,53.24,191.65,557.6,0.9682,0.9384,0.8955,0.8108,0.0,0.0,1.0,1.0,0.5485,0.3779,0.0,0.0
2081.png,True,0.6983,0,65,256,181,132,256,160,256,0.6303,0.5469,0.936,0.8138,0.9752,55.07,408.46,750.58,0.9669,0.9359,0.2974,0.1747,0.807,0.6765,0.8565,0.7491,0.0,0.0,0.8541,0.7453
468.png,True,0.474,0,6,256,183,195,256,224,256,0.9282,0.8989,0.9907,0.9434,0.9434,51.17,576.99,934.07,0.9953,0.9906,0.574,0.4026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
873.png,True,0.5508,0,86,254,135,55,256,64,256,0.9724,0.9516,0.9778,0.9696,0.9696,56.84,191.31,1269.48,0.988,0.9763,0.8462,0.7334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
289.png,True,0.5286,0,25,255,187,184,256,192,256,0.8801,0.8067,0.9863,0.8825,0.9562,50.45,470.29,881.84,0.993,0.986,0.7179,0.56,0.8195,0.6942,0.75,0.6,1.0,1.0,1.0,1.0
2572.png,True,0.6291,0,48,255,158,126,256,128,256,0.9712,0.9469,0.9927,0.9709,0.987,49.32,342.44,761.07,0.9962,0.9925,0.9024,0.8221,1.0,1.0,1.0,1.0,0.9286,0.8667,1.0,1.0
1013.png,True,0.3183,0,90,256,189,113,256,128,256,0.6137,0.5853,0.9861,0.7592,0.9124,51.39,321.63,672.76,0.9932,0.9864,0.0,0.0,0.0,0.0,1.0,1.0,0.689,0.5256,1.0,1.0
648.png,True,0.7457,0,109,256,195,98,256,128,256,0.5487,0.4425,0.8912,0.6406,0.9383,57.01,320.9,904.66,0.9503,0.9054,0.7172,0.5591,0.7115,0.5522,0.2518,0.144,0.0,0.0,0.6614,0.4941
775.png,True,0.5631,0,100,256,160,68,256,96,256,0.8582,0.7688,0.9427,0.8514,0.975,53.56,252.27,790.86,0.9684,0.9387,0.717,0.5588,0.8167,0.6901,0.9241,0.8589,0.7231,0.5663,1.0,1.0
164.png,True,0.6404,0,73,256,168,109,256,128,256,0.9002,0.8368,0.9714,0.9007,0.9763,64.85,435.76,886.06,0.9842,0.9689,1.0,1.0,0.7015,0.5403,1.0,1.0,0.7977,0.6635,0.9179,0.8482
2162.png,True,0.5724,0,74,255,200,144,256,160,256,0.5917,0.5037,0.9714,0.9001,0.9574,75.42,591.2,1095.57,0.9848,0.9701,0.2297,0.1298,0.7081,0.5481,0.8415,0.7264,0.7861,0.6476,0.0,0.0
627.png,True,0.7301,0,95,255,196,115,256,128,256,0.8105,0.7072,0.9225,0.8282,0.9687,77.32,502.17,1018.25,0.9526,0.9095,0.7866,0.6483,0.8689,0.7683,0.915,0.8433,0.4739,0.3105,0.8657,0.7632
887.png,True,0.3976,0,94,256,136,48,256,64,256,0.8831,0.8201,0.953,0.8579,0.969,107.02,312.22,1499.44,0.9716,0.9448,0.5618,0.3907,1.0,1.0,0.9252,0.8609,0.8402,0.7244,1.0,1.0
1356.png,True,0.5797,0,71,256,155,96,256,96,256,0.8598,0.7962,0.9691,0.8592,0.9893,118.82,525.85,999.45,0.9865,0.9735,0.9097,0.8343,0.9138,0.8413,0.9237,0.8583,0.425,0.2699,1.0,1.0
257.png,True,0.6351,0,12,256,255,256,256,256,256,0.8962,0.871,0.9899,0.9967,0.9967,126.08,1742.96,2262.1,0.9949,0.9899,0.382,0.2361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1491.png,True,0.5517,0,85,256,153,78,256,96,256,0.951,0.916,0.9841,0.9674,0.9814,104.72,406.03,878.34,0.9916,0.9833,0.79,0.6529,1.0,1.0,1.0,1.0,0.9247,0.8599,1.0,1.0
1223.png,True,0.4041,0,50,255,135,97,256,128,256,0.816,0.7729,0.9948,0.7918,0.9321,101.6,668.75,1112.84,0.9974,0.9947,0.6883,0.5248,1.0,1.0,1.0,1.0,0.2105,0.1176,1.0,1.0
1579.png,True,0.6639,0,66,256,140,84,256,96,256,0.8992,0.8342,0.9634,0.8953,0.9678,124.31,387.81,974.81,0.9797,0.9602,0.7343,0.5802,1.0,1.0,0.9157,0.8446,0.7654,0.6199,1.0,1.0
239.png,True,0.7672,0,89,256,168,91,256,96,256,0.9023,0.8402,0.9238,0.8847,0.9533,61.74,305.01,739.53,0.9512,0.9069,0.8723,0.7735,1.0,1.0,0.9282,0.866,0.6618,0.4946,1.0,1.0
1619.png,True,0.5692,0,35,255,200,189,256,192,256,0.8967,0.8444,0.9892,0.9777,0.9832,57.74,605.0,1292.34,0.9945,0.9891,0.5962,0.4247,0.7896,0.6524,1.0,1.0,1.0,1.0,1.0,1.0
2319.png,True,0.6192,0,130,253,197,77,256,96,256,0.939,0.8984,0.9717,0.9405,0.9837,55.88,302.81,604.42,0.984,0.9686,0.7408,0.5883,1.0,1.0,0.9093,0.8337,1.0,1.0,1.0,1.0
2678.png,True,0.7141,0,72,254,141,79,256,96,256,0.8919,0.8284,0.9768,0.8868,0.9779,53.38,257.72,569.72,0.9874,0.9751,0.813,0.6849,1.0,1.0,0.9163,0.8456,0.6346,0.4648,1.0,1.0
1551.png,True,0.3798,2,101,256,155,62,256,64,256,0.7302,0.661,0.9584,0.7706,0.9579,52.11,210.01,528.4,0.9781,0.9572,0.7534,0.6043,0.8287,0.7075,0.8213,0.6968,0.0,0.0,1.0,1.0
931.png,True,0.2976,0,99,256,180,93,256,96,256,0.8931,0.8393,0.9776,0.8716,0.9177,60.06,262.61,697.96,0.9884,0.9771,0.7809,0.6406,0.5894,0.4178,1.0,1.0,1.0,1.0,1.0,1.0
2346.png,True,0.6866,0,84,254,194,126,256,128,256,0.7062,0.6295,0.953,0.7662,0.9561,53.82,354.39,691.83,0.9743,0.9499,0.7234,0.5667,0.8341,0.7155,0.7056,0.5451,0.0,0.0,1.0,1.0
1300.png,True,0.3763,0,125,253,184,67,256,96,256,0.9339,0.8905,0.9933,0.953,0.9923,52.29,279.65,619.06,0.9971,0.9943,1.0,1.0,0.8562,0.7486,1.0,1.0,0.75,0.6,1.0,1.0
2264.png,True,0.6768,0,10,256,146,156,256,160,256,0.7633,0.7184,0.9868,0.9632,0.9813,50.82,407.85,865.58,0.9932,0.9866,0.7299,0.5746,0.8565,0.749,0.0,0.0,1.0,1.0,1.0,1.0
194.png,True,0.4125,0,61,253,111,58,256,64,256,0.606,0.5057,0.9654,0.773,0.9297,56.22,179.91,520.29,0.9827,0.9659,0.7614,0.6148,0.7455,0.5943,0.0,0.0,0.3742,0.2301,0.7725,0.6293
1309.png,True,0.5463,0,65,256,149,96,256,96,256,0.8654,0.7929,0.9713,0.8938,0.9627,93.83,406.83,1022.56,0.9883,0.9769,0.8892,0.8005,0.6379,0.4683,1.0,1.0,0.6772,0.512,1.0,1.0
2968.png,True,0.4435,0,71,254,173,116,256,128,256,0.7215,0.6727,0.9843,0.7072,0.9508,78.44,483.53,979.32,0.992,0.9842,0.8346,0.7162,0.5026,0.3356,1.0,1.0,1.0,1.0,0.0,0.0
895.png,True,0.5751,0,89,254,139,58,256,64,256,0.9578,0.9247,0.9781,0.972,0.982,81.72,276.17,977.96,0.988,0.9764,0.8462,0.7334,1.0,1.0,0.9123,0.8387,1.0,1.0,1.0,1.0
1016.png,True,0.5117,0,88,256,190,116,256,128,256,0.8737,0.8558,0.995,0.9616,0.9616,83.52,560.58,948.14,0.9975,0.995,0.2449,0.1395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1657.png,True,0.4908,1,103,256,159,64,256,64,256,0.9015,0.8512,0.9807,0.889,0.9627,83.29,294.74,661.79,0.9899,0.98,0.8305,0.7101,1.0,1.0,1.0,1.0,0.5887,0.4171,1.0,1.0
1343.png,True,0.465,0,103,256,196,107,256,128,256,0.7677,0.7013,0.9824,0.7236,0.927,51.11,335.29,870.32,0.9909,0.982,0.8621,0.7577,0.3071,0.1814,1.0,1.0,0.4459,0.287,1.0,1.0
96.png,True,0.6734,0,104,253,169,75,256,96,256,0.7078,0.6227,0.9264,0.742,0.9682,50.64,279.78,835.26,0.9553,0.9145,0.8324,0.7129,0.7233,0.5666,0.8099,0.6805,0.9257,0.8616,0.0,0.0
1003.png,True,0.521,0,58,256,126,78,256,96,256,0.6745,0.597,0.9797,0.8062,0.9524,58.9,259.59,593.97,0.9895,0.9792,0.7551,0.6066,0.0,0.0,0.7873,0.6492,0.5152,0.3469,1.0,1.0
1325.png,True,0.4271,0,69,256,142,83,256,96,256,0.9593,0.9285,0.9907,0.9754,0.9909,50.66,251.74,570.32,0.9951,0.9903,0.8262,0.7039,0.9345,0.877,1.0,1.0,1.0,1.0,1.0,1.0
337.png,True,0.6997,0,69,254,152,95,256,96,256,0.7896,0.736,0.9611,0.7639,0.9681,51.93,263.1,614.86,0.978,0.9569,0.5985,0.427,1.0,1.0,0.9579,0.9192,0.203,0.113,1.0,1.0
516.png,True,0.496,0,58,255,119,69,256,96,256,0.6818,0.579,0.9239,0.6565,0.9256,52.61,255.3,782.68,0.9574,0.9183,0.3437,0.2075,0.3953,0.2464,0.8287,0.7075,0.5658,0.3945,1.0,1.0
203.png,True,0.3984,2,69,255,122,61,256,64,256,0.6234,0.5402,0.9835,0.6749,0.9193,53.81,183.12,630.56,0.9918,0.9838,1.0,1.0,0.0,0.0,0.6849,0.5208,0.4359,0.2787,0.6279,0.4576
2941.png,True,0.812,0,85,256,177,104,256,128,256,0.8491,0.7833,0.9836,0.8483,0.9905,50.3,320.11,631.29,0.9903,0.9808,0.7868,0.6485,1.0,1.0,0.9064,0.8288,0.9852,0.9708,0.426,0.2707
2145.png,True,0.6472,0,36,255,175,159,256,160,256,0.9209,0.8794,0.9875,0.9759,0.9866,49.51,395.57,919.8,0.9935,0.9871,0.6168,0.4459,0.915,0.8434,1.0,1.0,1.0,1.0,1.0,1.0
2066.png,True,0.7587,0,57,255,182,143,256,160,256,0.5663,0.5077,0.9228,0.7113,0.9559,51.63,411.89,783.62,0.9594,0.922,0.0,0.0,0.6112,0.4401,0.884,0.7921,0.0,0.0,0.9429,0.892
503.png,True,0.6393,0,51,255,125,84,256,96,256,0.9381,0.8893,0.9673,0.9547,0.9819,53.62,298.4,901.38,0.9806,0.962,0.8424,0.7277,1.0,1.0,0.9142,0.842,0.8915,0.8042,1.0,1.0
2769.png,True,0.637,0,85,254,165,92,256,96,256,0.9314,0.8812,0.9748,0.9393,0.9781,50.15,254.85,585.23,0.9858,0.9719,0.7777,0.6362,1.0,1.0,0.9052,0.8267,0.9201,0.852,1.0,1.0
1765.png,True,0.8086,0,113,255,207,108,256,128,256,0.8023,0.7069,0.8421,0.761,0.9067,47.4,297.58,577.13,0.9026,0.8225,1.0,1.0,0.5768,0.4053,0.7532,0.6042,0.5809,0.4093,1.0,1.0
2888.png,True,0.7908,0,76,256,156,92,256,96,256,0.5459,0.461,0.9407,0.5311,0.9536,68.3,263.35,682.25,0.9674,0.9369,0.8542,0.7455,0.0,0.0,0.4647,0.3027,0.8126,0.6843,0.1765,0.0968
1719.png,True,0.5358,0,102,256,193,103,256,128,256,0.87,0.7964,0.9796,0.8598,0.9665,54.56,498.8,833.13,0.9892,0.9787,0.7982,0.6642,1.0,1.0,0.8174,0.6912,0.6154,0.4444,1.0,1.0
1690.png,True,0.5183,0,131,254,218,99,256,128,256,0.7562,0.6995,0.977,0.9085,0.9754,78.71,466.07,843.3,0.9882,0.9766,0.8017,0.6691,0.8643,0.761,0.0,0.0,0.8829,0.7904,1.0,1.0
1076.png,True,0.5698,0,57,255,230,197,256,224,256,0.9655,0.9425,0.9925,0.9826,0.9826,73.97,812.3,1164.66,0.9962,0.9924,0.797,0.6625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2840.png,True,0.4676,0,90,253,150,68,256,96,256,0.4846,0.45,0.9085,0.6446,0.9316,83.57,419.19,1139.94,0.9726,0.9467,0.0,0.0,0.1179,0.0627,0.8169,0.6905,0.0,0.0,1.0,1.0
