fname,detected,roi_confidence,box_x1,box_y1,box_x2,box_y2,crop_h,crop_w,seg_input_h,seg_input_w,dice,iou,pixel_accuracy,sensitivity,specificity,t_detect_ms,t_seg_ms,t_total_ms,dice_Background,iou_Background,dice_Retinal Layer,iou_Retinal Layer,dice_PED,iou_PED,dice_SRF,iou_SRF,dice_IRF,iou_IRF,dice_RPE,iou_RPE
2960.png,True,0.8426,0,112,256,186,74,256,96,256,0.4373,0.3933,0.9518,0.5997,0.9608,1.68,257.62,2770.4,0.9791,0.959,0.7799,0.6392,0.8648,0.7618,0.0,0.0,0.0,0.0,0.0,0.0
23.png,True,0.8628,0,70,256,163,93,256,96,256,0.9237,0.8783,0.9845,0.9485,0.9766,1.45,252.7,1904.5,0.992,0.9842,0.6802,0.5154,0.8701,0.77,1.0,1.0,1.0,1.0,1.0,1.0
1679.png,True,0.8605,0,109,256,186,77,256,96,256,0.818,0.7717,0.9551,0.7884,0.8932,1.44,236.17,1905.59,0.9764,0.954,0.7119,0.5527,1.0,1.0,1.0,1.0,0.2195,0.1233,1.0,1.0
298.png,True,0.8303,0,109,256,200,91,256,96,256,0.8402,0.7598,0.9741,0.8579,0.9665,4.78,294.67,2782.11,0.9874,0.9751,0.7284,0.5728,0.7697,0.6257,0.5559,0.385,1.0,1.0,1.0,1.0
2879.png,True,0.7557,0,29,256,200,171,256,192,256,0.4936,0.4359,0.973,0.6804,0.9847,2.02,653.84,3409.26,0.9855,0.9715,0.7753,0.633,0.2848,0.166,0.0,0.0,0.9159,0.8449,0.0,0.0
2814.png,True,0.7426,0,3,256,120,117,256,128,256,0.7716,0.6763,0.9646,0.8229,0.9762,1.62,330.9,3632.97,0.983,0.9665,0.6149,0.4439,0.852,0.7422,0.3725,0.2289,0.807,0.6764,1.0,1.0
658.png,True,0.8924,0,106,256,212,106,256,128,256,0.7878,0.7028,0.9862,0.7175,0.9064,1.59,347.71,1757.56,0.993,0.9861,0.5506,0.3799,0.6783,0.5132,1.0,1.0,0.5047,0.3375,1.0,1.0
726.png,True,0.8718,0,42,256,119,77,256,96,256,0.7943,0.7689,0.9798,0.9445,0.9445,1.47,249.03,1901.51,0.9894,0.9791,0.7763,0.6344,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
864.png,True,0.744,0,68,256,156,88,256,96,256,0.7251,0.67,0.962,0.701,0.9098,1.5,231.36,1655.11,0.9801,0.9609,0.8577,0.7508,1.0,1.0,1.0,1.0,0.3925,0.2442,0.12,0.0638
1086.png,True,0.8106,0,60,256,229,169,256,192,256,0.8264,0.7577,0.9807,0.801,0.9322,1.45,630.66,2930.52,0.9901,0.9804,0.7914,0.6548,0.3583,0.2183,0.8183,0.6925,1.0,1.0,1.0,1.0
545.png,True,0.7119,0,72,256,175,103,256,128,256,0.9645,0.9341,0.9824,0.9702,0.9945,2.8,408.96,1983.43,0.9897,0.9797,0.899,0.8166,1.0,1.0,0.9256,0.8616,0.9726,0.9467,1.0,1.0
1488.png,True,0.7451,0,66,256,197,131,256,160,256,0.8909,0.8423,0.9901,0.891,0.9766,1.51,395.52,2768.13,0.9949,0.9899,0.8344,0.7159,1.0,1.0,1.0,1.0,0.5161,0.3478,1.0,1.0
2325.png,True,0.9011,0,128,256,201,73,256,96,256,0.6553,0.5715,0.935,0.6689,0.9472,1.48,223.8,2733.59,0.9702,0.9422,0.4993,0.3327,0.7583,0.6108,0.7041,0.5433,0.0,0.0,1.0,1.0
853.png,True,0.7551,0,70,256,156,86,256,96,256,0.8984,0.8226,0.9504,0.9378,0.9859,1.44,222.26,1934.99,0.9754,0.9521,0.8944,0.809,0.8617,0.7571,1.0,1.0,0.8151,0.688,0.8438,0.7298
2684.png,True,0.8672,0,68,256,146,78,256,96,256,0.9333,0.8861,0.9811,0.9522,0.9795,1.44,224.8,1747.02,0.99,0.9801,0.763,0.6168,1.0,1.0,0.8864,0.796,0.9605,0.924,1.0,1.0
666.png,True,0.8018,0,53,256,212,159,256,160,256,0.5978,0.5551,0.9821,0.9538,0.9765,1.86,556.87,2273.79,0.9907,0.9816,0.704,0.5432,0.8924,0.8056,0.0,0.0,0.0,0.0,1.0,1.0
58.png,True,0.8368,0,90,256,172,82,256,96,256,0.8993,0.8353,0.9438,0.8971,0.9549,1.99,304.34,2827.55,0.9685,0.9389,0.8669,0.765,1.0,1.0,0.8939,0.8081,0.6664,0.4997,1.0,1.0
1388.png,True,0.8822,0,69,256,161,92,256,96,256,0.9176,0.8702,0.99,0.927,0.9628,2.02,229.53,2966.48,0.9949,0.9899,0.6647,0.4977,1.0,1.0,0.8462,0.7333,1.0,1.0,1.0,1.0
848.png,True,0.8337,0,72,256,149,77,256,96,256,0.8371,0.7418,0.9317,0.8832,0.9665,1.4,223.55,1428.36,0.9655,0.9334,0.911,0.8365,0.7519,0.6025,1.0,1.0,0.6274,0.4571,0.7666,0.6215
2913.png,True,0.7791,0,89,256,191,102,256,128,256,0.8691,0.7946,0.9726,0.9009,0.9827,1.57,327.02,3084.54,0.9852,0.9709,0.6234,0.4528,0.8358,0.718,0.7701,0.6261,1.0,1.0,1.0,1.0
2692.png,True,0.7936,0,86,256,193,107,256,128,256,0.8704,0.7825,0.9763,0.9067,0.966,1.6,434.86,3185.94,0.9883,0.9768,0.8434,0.7292,0.7759,0.6338,0.7867,0.6484,1.0,1.0,0.8283,0.707
2934.png,True,0.9078,0,62,256,178,116,256,128,256,0.8177,0.7371,0.9552,0.816,0.9781,1.59,443.31,2378.17,0.9725,0.9464,0.829,0.7079,0.3722,0.2286,1.0,1.0,0.9305,0.8701,0.8022,0.6698
2317.png,True,0.857,0,128,256,200,72,256,96,256,0.6753,0.5976,0.9285,0.6364,0.9372,1.62,256.46,2575.21,0.9586,0.9205,0.631,0.461,0.0,0.0,0.8926,0.806,0.5694,0.3981,1.0,1.0
889.png,True,0.8576,0,72,256,151,79,256,96,256,0.8177,0.7365,0.9677,0.7798,0.9672,1.43,244.03,1516.66,0.9832,0.967,0.842,0.727,0.8058,0.6748,0.901,0.8198,0.3742,0.2302,1.0,1.0
634.png,True,0.7603,0,100,256,191,91,256,96,256,0.6481,0.5596,0.9066,0.78,0.9358,1.54,242.74,2326.82,0.9489,0.9028,0.4479,0.2886,0.8483,0.7366,0.5526,0.3818,0.091,0.0477,1.0,1.0
458.png,True,0.8188,0,66,256,138,72,256,96,256,0.9073,0.8543,0.9794,0.9141,0.9336,1.52,230.88,2528.69,0.9893,0.9789,0.6822,0.5176,1.0,1.0,0.7723,0.6291,1.0,1.0,1.0,1.0
2449.png,True,0.8911,0,93,256,170,77,256,96,256,0.814,0.7282,0.9702,0.7808,0.9687,1.52,334.54,2198.22,0.9847,0.97,0.7964,0.6617,0.3944,0.2456,0.8684,0.7675,0.8401,0.7243,1.0,1.0
276.png,True,0.876,0,60,256,139,79,256,96,256,0.9204,0.8674,0.9836,0.8989,0.977,1.4,224.24,2748.46,0.9912,0.9825,0.8758,0.7791,1.0,1.0,0.9387,0.8845,0.7165,0.5583,1.0,1.0
1871.png,True,0.784,0,128,256,205,77,256,96,256,0.8263,0.7578,0.9564,0.875,0.9792,1.53,230.76,1963.12,0.9764,0.9539,1.0,1.0,0.8504,0.7397,0.7814,0.6412,0.3499,0.212,1.0,1.0
2087.png,True,0.8537,0,63,256,171,108,256,128,256,0.5458,0.4748,0.9211,0.9015,0.9723,1.52,313.56,2722.95,0.9535,0.9112,0.7368,0.5833,0.0,0.0,0.0,0.0,0.9278,0.8653,0.6569,0.4891
2419.png,True,0.8888,0,86,256,179,93,256,96,256,0.8975,0.8302,0.9797,0.9101,0.9664,1.5,226.22,3246.3,0.9893,0.9788,0.853,0.7437,1.0,1.0,0.8096,0.6801,0.7332,0.5787,1.0,1.0
1663.png,False,0.8811,0,104,256,168,64,256,64,256,0.9302,0.8861,0.9821,0.9504,0.9803,1.94,258.26,3238.29,0.9905,0.9813,0.8765,0.7801,1.0,1.0,1.0,1.0,0.714,0.5552,1.0,1.0
885.png,True,0.8793,0,73,256,152,79,256,96,256,0.9228,0.867,0.9734,0.9067,0.9823,1.43,242.39,1759.54,0.9849,0.9702,0.8186,0.6929,1.0,1.0,0.9257,0.8616,0.8076,0.6774,1.0,1.0
1745.png,True,0.7006,0,82,256,203,121,256,128,256,0.6299,0.5438,0.9489,0.7904,0.9633,1.4,290.17,1536.14,0.9726,0.9467,0.761,0.6142,0.856,0.7483,0.0,0.0,0.8619,0.7573,0.328,0.1962
971.png,True,0.8024,0,124,256,192,68,256,96,256,0.818,0.747,0.9643,0.7884,0.948,1.69,250.94,1837.77,0.9807,0.9622,0.6762,0.5108,1.0,1.0,0.8751,0.7779,0.3758,0.2313,1.0,1.0
589.png,False,0.8042,0,129,256,193,64,256,64,256,0.812,0.7949,0.9841,0.8285,0.9574,1.48,168.97,1477.65,0.9918,0.9837,0.8802,0.786,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2947.png,True,0.8816,0,116,256,198,82,256,96,256,0.7661,0.6757,0.9576,0.7751,0.9641,1.38,224.14,2473.78,0.9774,0.9558,0.8156,0.6887,0.6176,0.4468,0.8764,0.7799,1.0,1.0,0.3096,0.1832
185.png,True,0.8499,0,55,256,129,74,256,96,256,0.5432,0.4684,0.9611,0.5584,0.9593,1.41,242.43,1957.94,0.9795,0.9599,0.7568,0.6087,0.6847,0.5205,0.0,0.0,0.8381,0.7214,0.0,0.0
2764.png,True,0.6591,0,63,256,174,111,256,128,256,0.9022,0.8417,0.9608,0.9014,0.9665,1.89,439.69,3269.39,0.9772,0.9554,0.6496,0.481,1.0,1.0,0.9013,0.8203,0.885,0.7937,1.0,1.0
2841.png,False,0.6759,0,94,256,158,64,256,64,256,0.4843,0.4561,0.9122,0.6537,0.9365,1.58,180.36,2655.08,0.9744,0.95,0.0,0.0,0.0,0.0,0.8554,0.7474,0.0758,0.0394,1.0,1.0
2617.png,True,0.6932,0,113,256,244,131,256,160,256,0.5301,0.4353,0.9156,0.5979,0.9429,1.47,357.72,1934.45,0.975,0.9512,0.8135,0.6856,0.5034,0.3363,0.195,0.108,0.0,0.0,0.6936,0.5309
641.png,True,0.8098,0,105,256,179,74,256,96,256,0.568,0.5149,0.9818,0.7261,0.9555,1.42,226.82,1920.38,0.9907,0.9816,0.7831,0.6436,0.0,0.0,0.6341,0.4643,0.0,0.0,1.0,1.0
2360.png,True,0.8075,0,57,256,189,132,256,160,256,0.8541,0.796,0.9841,0.8377,0.9862,1.73,382.47,2380.85,0.9914,0.9829,0.7852,0.6463,1.0,1.0,0.9436,0.8932,0.4041,0.2532,1.0,1.0
2694.png,True,0.8009,0,89,256,191,102,256,128,256,0.8521,0.7567,0.9674,0.8829,0.9565,1.97,432.18,2944.9,0.9833,0.9671,0.8069,0.6762,0.7772,0.6356,0.7443,0.5927,1.0,1.0,0.8012,0.6683
551.png,True,0.6966,0,68,256,179,111,256,128,256,0.9571,0.9224,0.9785,0.9496,0.9856,1.48,290.69,2029.58,0.9868,0.974,0.8501,0.7393,1.0,1.0,0.9343,0.8767,0.9715,0.9445,1.0,1.0
1162.png,True,0.8256,0,115,256,218,103,256,128,256,0.8833,0.8118,0.984,0.8768,0.9384,1.93,298.89,2610.01,0.9918,0.9837,0.6832,0.5188,0.8033,0.6712,0.8214,0.697,1.0,1.0,1.0,1.0
1640.png,True,0.8814,0,60,256,167,107,256,128,256,0.7757,0.7311,0.9707,0.9579,0.989,1.9,309.28,1939.86,0.9828,0.9662,0.8171,0.6907,0.0,0.0,0.9057,0.8276,0.9487,0.9024,1.0,1.0
74.png,False,0.8692,0,45,256,109,64,256,64,256,0.7615,0.7152,0.9825,0.8202,0.99,1.49,170.74,2566.37,0.9908,0.9819,0.8399,0.724,1.0,1.0,0.0,0.0,0.7384,0.5852,1.0,1.0
6.png,True,0.8067,0,35,255,128,93,255,96,256,0.788,0.7243,0.9777,0.8291,0.9583,1.49,228.3,2022.99,0.9887,0.9776,0.6537,0.4855,0.2249,0.1267,1.0,1.0,0.861,0.756,1.0,1.0
344.png,True,0.8705,0,53,256,136,83,256,96,256,0.8789,0.8374,0.9812,0.9403,0.9682,3.26,337.11,3102.52,0.9899,0.9799,0.396,0.2469,0.8873,0.7974,1.0,1.0,1.0,1.0,1.0,1.0
760.png,True,0.7825,0,113,256,182,69,256,96,256,0.7316,0.6754,0.971,0.753,0.9404,1.51,252.68,2866.41,0.9847,0.9699,0.6896,0.5262,1.0,1.0,0.715,0.5564,0.0,0.0,1.0,1.0
278.png,True,0.8475,0,63,256,142,79,256,96,256,0.9518,0.9156,0.9879,0.9544,0.9768,1.52,244.44,1773.63,0.9937,0.9874,0.8816,0.7883,1.0,1.0,0.8356,0.7176,1.0,1.0,1.0,1.0
532.png,True,0.9547,0,110,256,183,73,256,96,256,0.9008,0.8475,0.9731,0.9037,0.9319,1.42,230.5,1712.9,0.986,0.9725,0.6251,0.4547,1.0,1.0,0.7935,0.6578,1.0,1.0,1.0,1.0
871.png,True,0.8339,0,69,256,160,91,256,96,256,0.6031,0.5602,0.9725,0.5895,0.947,1.48,220.43,2159.62,0.9853,0.9711,0.8808,0.787,0.0,0.0,1.0,1.0,0.7522,0.6029,0.0,0.0
2081.png,True,0.8112,0,74,256,215,141,256,160,256,0.6449,0.5604,0.9458,0.8245,0.9715,1.89,507.86,2964.26,0.9711,0.9438,0.368,0.2255,0.7874,0.6494,0.871,0.7715,0.0,0.0,0.8716,0.7725
468.png,True,0.8486,0,118,256,209,91,256,96,256,0.9409,0.9115,0.9837,0.9584,0.9584,2.16,333.6,2065.28,0.9916,0.9834,0.6539,0.4858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
873.png,True,0.8503,0,72,256,150,78,256,96,256,0.9718,0.9511,0.9848,0.9593,0.9593,1.49,225.07,2536.42,0.992,0.9842,0.8389,0.7225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
289.png,True,0.8562,0,110,256,201,91,256,96,256,0.7925,0.7232,0.9605,0.8269,0.9016,1.38,222.75,1542.9,0.9794,0.9596,0.7548,0.6062,0.2448,0.1395,0.7761,0.6341,1.0,1.0,1.0,1.0
2572.png,True,0.9015,0,66,256,162,96,256,96,256,0.9707,0.946,0.9902,0.9757,0.9877,1.51,230.99,1815.78,0.9948,0.9897,0.8972,0.8135,1.0,1.0,1.0,1.0,0.932,0.8727,1.0,1.0
1013.png,True,0.8781,0,117,256,218,101,256,128,256,0.6196,0.5922,0.9836,0.775,0.9214,1.36,299.16,2732.0,0.9917,0.9834,0.0,0.0,0.0,0.0,1.0,1.0,0.726,0.5698,1.0,1.0
648.png,True,0.6712,0,114,256,206,92,256,96,256,0.6063,0.4958,0.8873,0.6665,0.9198,1.74,279.42,1642.78,0.9375,0.8824,0.8404,0.7247,0.7371,0.5837,0.5101,0.3424,0.0,0.0,0.6126,0.4416
775.png,True,0.7217,0,58,256,176,118,256,128,256,0.8411,0.7491,0.9587,0.8867,0.9817,1.92,420.69,2117.55,0.9811,0.9629,0.8134,0.6854,0.7465,0.5955,0.8962,0.8119,0.6097,0.4386,1.0,1.0
164.png,True,0.7083,0,82,256,194,112,256,128,256,0.8861,0.8145,0.9643,0.9287,0.9708,1.45,296.45,1855.14,0.9805,0.9618,1.0,1.0,0.7261,0.57,1.0,1.0,0.7468,0.5959,0.8632,0.7593
2162.png,True,0.7356,0,55,256,168,113,256,128,256,0.6127,0.531,0.9695,0.8586,0.9599,1.71,310.72,1574.78,0.9837,0.9679,0.2474,0.1412,0.7324,0.5778,0.8804,0.7863,0.8325,0.7131,0.0,0.0
627.png,True,0.7314,0,103,256,196,93,256,96,256,0.6895,0.5871,0.8718,0.7095,0.9426,1.39,219.29,2609.73,0.9174,0.8474,0.783,0.6434,0.8753,0.7783,0.8377,0.7207,0.0519,0.0266,0.672,0.506
887.png,True,0.8652,0,74,256,152,78,256,96,256,0.9127,0.8543,0.9747,0.9028,0.9806,1.41,221.41,2550.29,0.9857,0.9719,0.7323,0.5777,1.0,1.0,0.9318,0.8722,0.8263,0.704,1.0,1.0
1356.png,True,0.8854,0,61,256,158,97,256,128,256,0.8503,0.7794,0.9652,0.8349,0.9844,1.4,396.07,2728.48,0.9837,0.968,0.8577,0.7508,0.9021,0.8217,0.9237,0.8582,0.4348,0.2778,1.0,1.0
257.png,True,0.9696,0,47,256,246,199,256,224,256,0.8858,0.8628,0.9848,0.9922,0.9922,1.53,546.32,3495.73,0.9923,0.9848,0.3222,0.1921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1491.png,False,0.8804,0,91,256,155,64,256,64,256,0.9517,0.9181,0.9778,0.9886,0.9928,1.43,159.24,2108.3,0.9881,0.9764,0.7761,0.6341,1.0,1.0,1.0,1.0,0.9463,0.898,1.0,1.0
1223.png,True,0.8459,0,74,256,148,74,256,96,256,0.8866,0.831,0.994,0.8902,0.9483,1.6,225.02,2117.93,0.997,0.994,0.7114,0.552,1.0,1.0,1.0,1.0,0.6111,0.44,1.0,1.0
1579.png,True,0.7769,0,63,256,145,82,256,96,256,0.8789,0.8081,0.9562,0.8704,0.9599,1.69,249.63,2993.29,0.9756,0.9524,0.6693,0.503,1.0,1.0,0.9053,0.8269,0.7232,0.5664,1.0,1.0
239.png,True,0.7453,0,39,256,190,151,256,160,256,0.9351,0.8855,0.9717,0.9203,0.9745,1.53,430.69,2183.25,0.9836,0.9676,0.817,0.6906,1.0,1.0,0.9245,0.8596,0.8857,0.7949,1.0,1.0
1619.png,True,0.7706,0,137,256,229,92,256,96,256,0.9244,0.8762,0.9894,0.9451,0.9797,2.08,356.57,1709.46,0.9946,0.9892,0.7564,0.6083,0.7952,0.66,1.0,1.0,1.0,1.0,1.0,1.0
2319.png,True,0.8604,0,129,256,202,73,256,96,256,0.9028,0.8561,0.9597,0.9016,0.9743,1.43,234.9,1778.91,0.9772,0.9554,0.5483,0.3777,1.0,1.0,0.8912,0.8038,1.0,1.0,1.0,1.0
2678.png,True,0.9186,0,67,256,145,78,256,96,256,0.8986,0.8367,0.9771,0.903,0.982,1.41,229.97,1521.08,0.9875,0.9754,0.8454,0.7322,1.0,1.0,0.9063,0.8287,0.6523,0.484,1.0,1.0
1551.png,True,0.8323,0,89,256,158,69,256,96,256,0.6513,0.5826,0.9532,0.69,0.9383,1.51,244.18,2916.95,0.9765,0.9542,0.3209,0.1911,0.772,0.6286,0.8385,0.7219,0.0,0.0,1.0,1.0
931.png,True,0.833,0,118,256,211,93,256,96,256,0.703,0.6482,0.9736,0.8595,0.9091,1.46,233.57,1913.94,0.9868,0.9739,0.747,0.5962,0.4842,0.3194,1.0,1.0,0.0,0.0,1.0,1.0
2346.png,True,0.8243,0,67,256,179,112,256,128,256,0.7376,0.6754,0.9709,0.7961,0.9839,1.57,322.51,1832.76,0.9851,0.9707,0.7504,0.6005,0.9273,0.8645,0.7627,0.6165,0.0,0.0,1.0,1.0
1300.png,True,0.8041,0,127,256,201,74,256,96,256,0.8044,0.7801,0.9919,0.8313,0.9894,1.55,345.56,2310.93,0.9976,0.9953,1.0,1.0,0.8045,0.673,1.0,1.0,0.0244,0.0123,1.0,1.0
2264.png,True,0.8988,0,64,256,162,98,256,128,256,0.5721,0.5225,0.9794,0.9038,0.9549,2.27,435.61,2061.4,0.9898,0.9798,0.6034,0.4321,0.8393,0.7231,0.0,0.0,0.0,0.0,1.0,1.0
194.png,True,0.8981,0,43,256,131,88,256,96,256,0.5779,0.4897,0.9766,0.8361,0.9483,1.43,226.55,2861.63,0.9891,0.9784,0.8135,0.6856,0.7535,0.6045,0.0,0.0,0.1886,0.1041,0.7225,0.5655
1309.png,False,0.922,0,79,256,143,64,256,64,256,0.8522,0.7768,0.9536,0.8824,0.9581,1.52,171.77,2528.45,0.9808,0.9624,0.8774,0.7816,0.5884,0.4168,1.0,1.0,0.6667,0.5,1.0,1.0
2968.png,True,0.8155,0,78,256,191,113,256,128,256,0.7732,0.7312,0.9877,0.7644,0.9663,1.48,321.44,2046.9,0.9936,0.9873,0.849,0.7377,0.7967,0.6621,1.0,1.0,1.0,1.0,0.0,0.0
895.png,True,0.8833,0,70,256,153,83,256,96,256,0.9648,0.9362,0.9876,0.9716,0.9817,1.53,233.62,1805.66,0.9934,0.987,0.8721,0.7732,1.0,1.0,0.9231,0.8571,1.0,1.0,1.0,1.0
1016.png,True,0.8697,0,113,256,204,91,256,96,256,0.9092,0.8823,0.9979,0.946,0.946,2.0,337.32,2908.5,0.9989,0.9979,0.4565,0.2958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1657.png,False,0.8384,0,105,256,169,64,256,64,256,0.9092,0.8592,0.9791,0.9251,0.9716,1.48,169.03,2721.08,0.989,0.9783,0.833,0.7139,1.0,1.0,1.0,1.0,0.6332,0.4632,1.0,1.0
1343.png,True,0.9211,0,133,256,210,77,256,96,256,0.6283,0.6024,0.9661,0.6163,0.8939,1.57,255.13,3135.45,0.9824,0.9655,0.7871,0.649,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
96.png,True,0.7897,0,87,256,184,97,256,128,256,0.7209,0.628,0.9456,0.908,0.9807,1.41,299.18,2025.37,0.9669,0.9359,0.6945,0.532,0.7629,0.6167,0.8204,0.6955,0.9605,0.9241,0.12,0.0638
1003.png,True,0.8712,0,67,256,146,79,256,96,256,0.598,0.5325,0.9756,0.7415,0.9468,1.55,245.43,2511.56,0.9886,0.9775,0.7371,0.5837,0.0,0.0,0.7113,0.552,0.1509,0.0816,1.0,1.0
1325.png,False,0.9289,0,84,256,148,64,256,64,256,0.9516,0.9147,0.982,0.9762,0.9888,1.98,245.4,1636.42,0.9904,0.981,0.8656,0.7631,0.8533,0.7441,1.0,1.0,1.0,1.0,1.0,1.0
337.png,True,0.8199,0,24,256,155,131,256,160,256,0.8524,0.7878,0.9753,0.8128,0.9733,1.4,367.16,2855.85,0.9863,0.973,0.6678,0.5013,1.0,1.0,0.9555,0.9148,0.5049,0.3377,1.0,1.0
516.png,True,0.7401,0,28,256,131,103,256,128,256,0.7081,0.6348,0.9622,0.6975,0.9494,1.48,289.7,2736.22,0.9795,0.9599,0.6659,0.4992,0.0,0.0,0.8732,0.775,0.73,0.5748,1.0,1.0
203.png,True,0.83,0,52,256,131,79,256,96,256,0.6555,0.5601,0.9642,0.9328,0.9659,1.66,254.74,1668.91,0.9817,0.9641,1.0,1.0,0.1139,0.0604,0.7143,0.5556,0.5732,0.4018,0.5497,0.379
2941.png,True,0.8315,0,72,256,179,107,256,128,256,0.8803,0.8098,0.9839,0.8982,0.9926,1.6,304.47,2645.87,0.9905,0.9812,0.8204,0.6954,1.0,1.0,0.8736,0.7756,0.9794,0.9597,0.6176,0.4468
2145.png,True,0.8254,0,94,256,205,111,256,128,256,0.9159,0.8737,0.984,0.9677,0.9884,1.58,311.69,1885.23,0.9916,0.9833,0.5917,0.4202,0.9123,0.8387,1.0,1.0,1.0,1.0,1.0,1.0
2066.png,True,0.847,0,79,256,197,118,256,128,256,0.4069,0.3528,0.8958,0.571,0.9559,1.57,444.41,3104.44,0.9544,0.9128,0.0,0.0,0.6442,0.4751,0.8431,0.7287,0.0,0.0,0.0,0.0
503.png,True,0.7902,0,23,256,136,113,256,128,256,0.9414,0.8952,0.9774,0.9605,0.9851,1.38,290.41,2692.98,0.9872,0.9748,0.8373,0.7201,1.0,1.0,0.9134,0.8406,0.9107,0.836,1.0,1.0
2769.png,True,0.8427,0,92,256,165,73,256,96,256,0.9275,0.875,0.9682,0.9189,0.9741,1.42,223.83,2828.32,0.9815,0.9636,0.7661,0.6209,1.0,1.0,0.9019,0.8214,0.9154,0.844,1.0,1.0
1765.png,True,0.846,0,110,256,188,78,256,96,256,0.7744,0.6716,0.7672,0.7412,0.8961,1.58,250.69,2772.63,0.845,0.7315,1.0,1.0,0.6037,0.4324,0.6853,0.5213,0.5124,0.3444,1.0,1.0
2888.png,True,0.6988,0,38,256,190,152,256,160,256,0.6055,0.5186,0.9718,0.6538,0.9844,2.26,578.11,2962.48,0.9859,0.9722,0.8764,0.78,0.4981,0.3317,0.395,0.2461,0.8774,0.7815,0.0,0.0
1719.png,False,0.7598,0,130,256,194,64,256,64,256,0.7637,0.7162,0.9642,0.7874,0.96,1.49,177.38,3215.95,0.9805,0.9617,0.7989,0.6652,1.0,1.0,0.8027,0.6704,0.0,0.0,1.0,1.0
1690.png,True,0.8766,0,118,256,221,103,256,128,256,0.7029,0.6287,0.969,0.8569,0.9713,1.47,291.85,2837.18,0.9853,0.9709,0.8021,0.6696,0.8137,0.6858,0.0,0.0,0.6165,0.4456,1.0,1.0
1076.png,True,0.8801,0,64,256,230,166,256,192,256,0.9687,0.947,0.9924,0.9779,0.9779,1.39,438.38,3470.58,0.9961,0.9923,0.8164,0.6897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
